episode,reward,length,epsilon
281,-171.46964635177648,151,0.04344465671739853
282,-243.11485163778462,101,0.04342293438903983
283,-144.24245559143384,154,0.04340122292184531
284,-146.11590305351046,127,0.04337952231038439
285,-361.881501768861,122,0.043357832549229196
286,-136.4175126086819,80,0.04333615363295459
287,-215.60135201226717,123,0.043314485556138115
288,-251.6809022111606,111,0.043292828313360045
289,-238.77305916990892,110,0.04327118189920337
290,-114.5083628427545,93,0.04324954630825377
291,-65.89695100439116,132,0.04322792153509965
292,-391.38795973640555,205,0.0432063075743321
293,6.8910117588391415,125,0.043184704420544937
294,-57.38610429304053,111,0.04316311206833467
295,-234.42357369763656,251,0.043141530512300505
296,-87.4638202931872,141,0.043119959747044356
297,-73.53929839191508,152,0.043098399767170836
298,-260.15484254109083,148,0.04307685056728725
299,-189.62217023796836,149,0.04305531214200361
300,-120.96109718117117,139,0.04303378448593261
301,-173.8781906882958,108,0.043012267593689646
302,-135.58485819626446,105,0.04299076145989281
303,-145.9577426938109,110,0.04296926607916286
304,-62.573501873460195,88,0.04294778144612328
305,-66.88596314095932,93,0.04292630755540022
306,-181.43105169530756,157,0.042904844401622524
307,-115.96656143870564,171,0.04288339197942172
308,-122.7331698994022,101,0.04286195028343201
309,-257.21465280258366,106,0.0428405193082903
310,-214.83039904306682,146,0.04281909904863616
311,-57.847684933211134,166,0.04279768949911184
312,-317.53712585103835,237,0.04277629065436229
313,-331.38773117890275,218,0.04275490250903511
314,-236.18019617908996,139,0.042733525057780594
315,-103.31766842109853,86,0.042712158295251705
316,-108.2048693499269,134,0.04269080221610408
317,-268.8677035479118,115,0.04266945681499603
318,-178.59352185236634,107,0.04264812208658853
319,-259.02225981575316,65,0.04262679802554524
320,-107.05389131534109,82,0.04260548462653247
321,-213.13996652796396,102,0.042584181884219204
322,-84.08771974914443,118,0.042562889793277096
323,-264.8471096460308,194,0.04254160834838046
324,-284.78951979406327,153,0.04252033754420627
325,-180.35258423460596,80,0.042499077375434166
326,-150.95101435124872,119,0.04247782783674645
327,-103.4541225810835,118,0.04245658892282808
328,-260.1330619661208,132,0.04243536062836667
329,-284.6892793962699,101,0.042414142948052486
330,-90.08920681074194,166,0.04239293587657846
331,-91.14298115670402,122,0.042371739408640176
332,-540.101739213171,115,0.04235055353893586
333,-154.96619544832208,179,0.042329378262166394
334,-308.74328960630385,117,0.04230821357303531
335,-169.6588896253154,171,0.0422870594662488
336,-230.54924609581994,138,0.04226591593651568
337,-148.73434911337222,89,0.042244782978547425
338,-139.29478236278578,103,0.042223660587058155
339,-297.63839608887537,114,0.04220254875676463
340,-85.39892676411692,91,0.04218144748238625
341,-230.0716311077822,169,0.04216035675864506
342,-265.88844663010605,134,0.04213927658026574
343,-43.64139991221218,86,0.042118206941975614
344,-348.90631760150774,129,0.04209714783850463
345,-374.0147285534981,150,0.04207609926458538
346,-363.0131354173954,156,0.04205506121495309
347,-162.51444075757237,114,0.04203403368434561
348,-112.50097007532226,143,0.04201301666750344
349,-121.32967220302146,116,0.041992010159169695
350,-261.8356221311162,115,0.04197101415409011
351,-189.34592365057313,128,0.04195002864701307
352,-86.09159158334629,135,0.04192905363268956
353,-65.2824455210341,95,0.041908089105873216
354,-154.1201876738089,118,0.04188713506132028
355,-122.3829660162753,108,0.041866191493789624
356,-275.9783074952439,112,0.041845258398042734
357,-239.54449333531474,112,0.041824335768843715
358,-130.70807879349326,159,0.041803423600959295
359,-82.14148735898203,74,0.04178252188915882
360,-166.3702842656216,109,0.04176163062821424
361,-229.78304190712214,209,0.04174074981290014
362,-98.61364262569317,151,0.04171987943799369
363,-319.9092884666474,91,0.041699019498274696
364,-200.94953883687333,167,0.04167816998852556
365,-116.80281451472197,114,0.0416573309035313
366,-300.51486264950984,143,0.041636502238079534
367,-172.4017443897868,125,0.0416156839869605
368,-331.7251654191573,134,0.04159487614496702
369,-94.02526503982395,85,0.041574078706894536
370,-37.35030314388416,86,0.04155329166754109
371,-412.451917108537,152,0.04153251502170732
372,-294.9949725799372,179,0.04151174876419647
373,-304.308713119097,136,0.04149099288981437
374,-126.46301038671035,160,0.04147024739336947
375,-63.293497438917754,260,0.041449512269672785
376,-395.4368836212216,138,0.04142878751353795
377,-311.17773236565586,105,0.04140807311978118
378,-90.58983739991474,77,0.04138736908322129
379,-88.83976836014114,126,0.041366675398679685
380,-124.05243261646066,119,0.04134599206098035
381,-113.61280964930776,108,0.041325319064949864
382,-176.39315597690518,100,0.04130465640541739
383,-196.83687696203202,164,0.041284004077214685
384,-74.93581801289511,106,0.04126336207517608
385,-374.0219487891636,105,0.04124273039413849
386,-308.1383247266634,125,0.041222109028941425
387,-385.779672597599,109,0.04120149797442696
388,-36.269580283911175,120,0.04118089722543975
389,-318.2777672831911,116,0.041160306776827034
390,-202.16278700803022,187,0.04113972662343862
391,-233.27760733881908,141,0.0411191567601269
392,-327.788455773631,194,0.04109859718174684
393,-107.97470840702594,107,0.04107804788315597
394,-79.83517592855279,147,0.041057508859214394
395,-380.17561623468663,135,0.041036980104784786
396,-125.97356250696117,105,0.041016461614732394
